VacID	JumpID	ERGforward	ERGbackward	ERGstartshow	ERGendshow	ERGstart	ERG1	ERG2	ERG3	ERG4	ERG5	ERGend	DISTstart	DIST1	DIST2	DIST3	DIST4	DIST5	DISTend	FORCEsaddle	DIST	POS
83	144	.533075	.568438	-895.89851575	-895.93387903	0.000000	0.130645	0.403844	0.533075	0.398290	0.110683	-0.035363	0.000000	0.496496	0.998932	1.498423	2.004174	2.513267	3.018902	-0.001255	2.77056596824187	1.498423
18	23	.305995	.264005	-896.04424058	-896.00225070	0.000000	0.091645	0.238211	0.305995	0.250622	0.122433	0.041990	0.000000	0.479506	0.963620	1.451212	1.921023	2.392610	2.863184	-0.007358	2.72787404966742	1.451212
18	84	.319013	.394433	-896.04424058	-896.11966031	0.000000	0.093959	0.250900	0.319013	0.228023	0.039715	-0.075420	0.000000	0.472316	0.945717	1.416392	1.915498	2.408544	2.897524	0.006433	2.71327745848248	1.416392
18	19	.352296	.230390	-896.04424058	-895.92233474	0.000000	0.101841	0.273303	0.352296	0.303184	0.187222	0.121906	0.000000	0.506646	1.008315	1.514360	1.968478	2.426928	2.876738	-0.013888	2.71888237882713	1.514360
82	83	.487996	.390884	-880.01349008	-879.91637809	0.000000	0.129037	0.377391	0.487996	0.388340	0.196729	0.097112	0.000000	0.540684	1.079180	1.616570	2.140257	2.666496	3.188985	0.005716	2.92587858160495	1.616570
82	80	.273907	.189952	-880.01349008	-879.92953544	0.000000	0.070908	0.201685	0.273907	0.239024	0.143003	0.083955	0.000000	0.423865	0.855211	1.293239	1.686320	2.086612	2.491285	-0.033561	2.3756865700203	1.293239
82	148	.506564	.336985	-880.01349008	-879.84391145	0.000000	0.129484	0.384646	0.506564	0.426702	0.254211	0.169579	0.000000	0.501308	1.001755	1.501870	1.950418	2.403853	2.859734	-0.011183	2.64201129439269	1.501870
83	160	.581408	.486859	-879.91635829	-879.82180924	0.000000	0.145191	0.439779	0.581408	0.469488	0.217362	0.094549	0.000000	0.496457	1.002223	1.505661	1.984011	2.468168	2.955345	-0.002715	2.71520346228495	1.505661
83	81	.391492	.488866	-879.91635829	-880.01373263	0.000000	0.100555	0.290575	0.391492	0.278987	0.030047	-0.097374	0.000000	0.526175	1.051086	1.574536	2.113247	2.652890	3.191276	-0.004630	2.92645878109607	1.574536
83	144	.505546	.493885	-879.91635829	-879.90469759	0.000000	0.128047	0.383491	0.505546	0.391642	0.140188	0.011661	0.000000	0.487705	0.980581	1.470440	1.958897	2.450215	2.939019	-0.000823	2.73222880940422	1.470440
18	23	.342877	.273778	-880.08310863	-880.01400969	0.000000	0.095300	0.270942	0.342877	0.241672	0.153937	0.069099	0.000000	0.497264	0.991466	1.483849	2.189084	2.888759	3.584676	0.020435	3.05700552498933	1.483849
18	84	.368121	.100833	-880.08310863	-879.81582027	0.000000	0.056049	0.199594	0.323062	0.368121	0.316198	0.267288	0.000000	0.409032	0.814849	1.215635	1.614762	2.107536	2.598479	0.011435	2.39841942877489	1.614762
18	19	.410709	.255441	-880.08310863	-879.92784098	0.000000	0.122913	0.334361	0.410709	0.320532	0.238800	0.155268	0.000000	0.533220	1.063631	1.589157	2.265408	2.936223	3.597872	0.028677	3.09010299879346	1.589157
